file 文件
profile 简介，形象
flu 流感
affluent 富裕的
current 当前的
currency 货币
fierce 凶猛的
crisis 危机
code 代码
debt 债务
grand 宏大的
fatigue 疲惫
fiber 纤维
limit 极限
surge 激涌，急剧上升
norm 常态
youngster 年轻人
core 核心
record 记录
cure 治愈，解决
accurate 精确的，正确无误的
region 区域
regular 规律的
regulate 控制，管理调节
concert 音乐会
certain 确信
passenger 乘客
passion 激情
transaction 交易，办理
transfer 转换
transit 运输
transmit 传送，传递传播
transport 交通运输工具
transform 改造
species 种族
specific 具体的，特定的
perceive 意识到，察觉到
persuade 劝说，说服
officer 军官
customer 顾客
quarter 四分之一
psychology 心理学
biology 生物学
circumstances 环境，情况
finance 财政，金融，资金
obstacle 阻碍
objective 客观的
observe 注意到
occasion 场合，时机，导致
occupy 占领
occupation 工作，消遣，占领
opposite 对立，对面
arise 出现，站起
aware 注意到的
abundant 大量的
abuse 谩骂
absorb 吸入，使全神贯注
accelerate 加速
accent 口音，强调
accomplish 完成
account 账户
accuse 指责，控告
acknowledge 承认，感谢告知
adverse 不利的
advertise 广告
adolescent 青春期的，青少年的
advocate 拥护，提倡
adequate 足够的，合格的
admit 准许，承认
affair 公共事务
appeal 吸引力
appreciate 感谢，欣赏
approach 靠近
appropriate 合适的
approve 批准
assume 假定
assign 分配
attend 参加
attach 固定，附着
attempt 尝试，企图
attribute 把...归结于
